config	wasmtime=47.0.2	fixture=json-top-level-object	bytes=10485811	entities=39870	changed_entity=19935	changed_member_bytes=262	guest_per_linear_memory_limit_mib=64	max_entity_summaries=1000000	cold_warmups=3	cold_samples=20	warm_warmups=10	warm_samples=100	hot_warmups=2400	hot_samples=24000	hot_print_raw=false	guest_component_bytes=224501	guest_sha256=cc3ffcd1fae32e4152295ea9c76787e7918450886e8196d0adf560a6dd19b79d	benchmark_source_parent=0ae69bfa	wasm_tools=1.254.0	machine=AMD-EPYC-Milan-4-core-8-thread	memory_gib=30	cpu_affinity=0
check	name=fail-closed-short-stream	status=ok	advertised_bytes=10485811	emitted_bytes=10485810	elapsed_ms=119.318
check	name=fail-closed-terminal-error	status=ok	emitted_bytes=10485811	elapsed_ms=118.635
check	name=output-cancellation-terminal	status=ok	elapsed_ms=123.073
check	name=host-entity-output-limit	status=ok	declared=39870	limit=39869	elapsed_ms=122.549
sample	phase=cold-open	transport=list-u8	index=0	elapsed_ms=109.724476
sample	phase=cold-open	transport=list-u8	index=1	elapsed_ms=114.536115
sample	phase=cold-open	transport=list-u8	index=2	elapsed_ms=110.072713
sample	phase=cold-open	transport=list-u8	index=3	elapsed_ms=111.427880
sample	phase=cold-open	transport=list-u8	index=4	elapsed_ms=116.102712
sample	phase=cold-open	transport=list-u8	index=5	elapsed_ms=109.582209
sample	phase=cold-open	transport=list-u8	index=6	elapsed_ms=109.353870
sample	phase=cold-open	transport=list-u8	index=7	elapsed_ms=110.411430
sample	phase=cold-open	transport=list-u8	index=8	elapsed_ms=110.277888
sample	phase=cold-open	transport=list-u8	index=9	elapsed_ms=110.496990
sample	phase=cold-open	transport=list-u8	index=10	elapsed_ms=110.059537
sample	phase=cold-open	transport=list-u8	index=11	elapsed_ms=109.749353
sample	phase=cold-open	transport=list-u8	index=12	elapsed_ms=110.852249
sample	phase=cold-open	transport=list-u8	index=13	elapsed_ms=110.842381
sample	phase=cold-open	transport=list-u8	index=14	elapsed_ms=109.551591
sample	phase=cold-open	transport=list-u8	index=15	elapsed_ms=108.936305
sample	phase=cold-open	transport=list-u8	index=16	elapsed_ms=109.202054
sample	phase=cold-open	transport=list-u8	index=17	elapsed_ms=109.402943
sample	phase=cold-open	transport=list-u8	index=18	elapsed_ms=109.226912
sample	phase=cold-open	transport=list-u8	index=19	elapsed_ms=109.017797
result	phase=cold-open	transport=list-u8	samples=20	p50_ms=109.749353	p95_ms=114.536115	min_ms=108.936305	max_ms=116.102712	guest_linear_high_water_mib=15.625	source_forks=0	source_lens=0	source_reads=0	source_read_bytes=0	source_streams=0	source_stream_bytes=0	source_stream_emitted_bytes=0	source_drops=0
sample	phase=cold-open	transport=bytes-stream-u8	index=0	elapsed_ms=108.837920
sample	phase=cold-open	transport=bytes-stream-u8	index=1	elapsed_ms=108.944020
sample	phase=cold-open	transport=bytes-stream-u8	index=2	elapsed_ms=108.965209
sample	phase=cold-open	transport=bytes-stream-u8	index=3	elapsed_ms=109.031224
sample	phase=cold-open	transport=bytes-stream-u8	index=4	elapsed_ms=109.198938
sample	phase=cold-open	transport=bytes-stream-u8	index=5	elapsed_ms=108.898383
sample	phase=cold-open	transport=bytes-stream-u8	index=6	elapsed_ms=109.024500
sample	phase=cold-open	transport=bytes-stream-u8	index=7	elapsed_ms=109.930545
sample	phase=cold-open	transport=bytes-stream-u8	index=8	elapsed_ms=108.975708
sample	phase=cold-open	transport=bytes-stream-u8	index=9	elapsed_ms=109.546523
sample	phase=cold-open	transport=bytes-stream-u8	index=10	elapsed_ms=109.799620
sample	phase=cold-open	transport=bytes-stream-u8	index=11	elapsed_ms=109.182248
sample	phase=cold-open	transport=bytes-stream-u8	index=12	elapsed_ms=109.170885
sample	phase=cold-open	transport=bytes-stream-u8	index=13	elapsed_ms=109.145828
sample	phase=cold-open	transport=bytes-stream-u8	index=14	elapsed_ms=109.147613
sample	phase=cold-open	transport=bytes-stream-u8	index=15	elapsed_ms=109.280283
sample	phase=cold-open	transport=bytes-stream-u8	index=16	elapsed_ms=108.881372
sample	phase=cold-open	transport=bytes-stream-u8	index=17	elapsed_ms=109.645879
sample	phase=cold-open	transport=bytes-stream-u8	index=18	elapsed_ms=108.883025
sample	phase=cold-open	transport=bytes-stream-u8	index=19	elapsed_ms=109.270414
result	phase=cold-open	transport=bytes-stream-u8	samples=20	p50_ms=109.145828	p95_ms=109.799620	min_ms=108.837920	max_ms=109.930545	guest_linear_high_water_mib=6.625	source_forks=0	source_lens=20	source_reads=0	source_read_bytes=0	source_streams=20	source_stream_bytes=209716220	source_stream_emitted_bytes=209716220	source_drops=20
comparison	name=cold-list-over-bytes-stream	p50_speedup=1.006	p95_speedup=1.043
sample	phase=warm-update-stateless-full	transport=open-list-u8	index=0	elapsed_ms=109.440503
sample	phase=warm-update-stateless-full	transport=open-list-u8	index=1	elapsed_ms=109.356394
sample	phase=warm-update-stateless-full	transport=open-list-u8	index=2	elapsed_ms=109.040250
sample	phase=warm-update-stateless-full	transport=open-list-u8	index=3	elapsed_ms=109.988122
sample	phase=warm-update-stateless-full	transport=open-list-u8	index=4	elapsed_ms=109.275202
sample	phase=warm-update-stateless-full	transport=open-list-u8	index=5	elapsed_ms=109.684142
sample	phase=warm-update-stateless-full	transport=open-list-u8	index=6	elapsed_ms=109.346647
sample	phase=warm-update-stateless-full	transport=open-list-u8	index=7	elapsed_ms=109.081578
sample	phase=warm-update-stateless-full	transport=open-list-u8	index=8	elapsed_ms=109.178391
sample	phase=warm-update-stateless-full	transport=open-list-u8	index=9	elapsed_ms=109.483875
sample	phase=warm-update-stateless-full	transport=open-list-u8	index=10	elapsed_ms=109.308336
sample	phase=warm-update-stateless-full	transport=open-list-u8	index=11	elapsed_ms=109.766526
sample	phase=warm-update-stateless-full	transport=open-list-u8	index=12	elapsed_ms=109.806330
sample	phase=warm-update-stateless-full	transport=open-list-u8	index=13	elapsed_ms=109.936075
sample	phase=warm-update-stateless-full	transport=open-list-u8	index=14	elapsed_ms=109.513399
sample	phase=warm-update-stateless-full	transport=open-list-u8	index=15	elapsed_ms=108.868567
sample	phase=warm-update-stateless-full	transport=open-list-u8	index=16	elapsed_ms=110.148675
sample	phase=warm-update-stateless-full	transport=open-list-u8	index=17	elapsed_ms=109.839112
sample	phase=warm-update-stateless-full	transport=open-list-u8	index=18	elapsed_ms=109.860893
sample	phase=warm-update-stateless-full	transport=open-list-u8	index=19	elapsed_ms=109.307795
result	phase=warm-update-stateless-full	transport=open-list-u8	samples=20	p50_ms=109.440503	p95_ms=109.988122	min_ms=108.868567	max_ms=110.148675	guest_linear_high_water_mib=15.625	source_forks=0	source_lens=0	source_reads=0	source_read_bytes=0	source_streams=0	source_stream_bytes=0	source_stream_emitted_bytes=0	source_drops=0
check	name=immutable-fork-successor	status=ok	transport=list-u8
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-list	index=0	elapsed_ms=0.009678
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-list	index=1	elapsed_ms=0.009607
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-list	index=2	elapsed_ms=0.009378
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-list	index=3	elapsed_ms=0.009247
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-list	index=4	elapsed_ms=0.009879
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-list	index=5	elapsed_ms=0.010549
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-list	index=6	elapsed_ms=0.009418
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-list	index=7	elapsed_ms=0.009759
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-list	index=8	elapsed_ms=0.009318
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-list	index=9	elapsed_ms=0.009107
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-list	index=10	elapsed_ms=0.009127
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-list	index=11	elapsed_ms=0.009287
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-list	index=12	elapsed_ms=0.009589
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-list	index=13	elapsed_ms=0.009378
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-list	index=14	elapsed_ms=0.009778
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-list	index=15	elapsed_ms=0.010200
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-list	index=16	elapsed_ms=0.009718
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-list	index=17	elapsed_ms=0.009577
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-list	index=18	elapsed_ms=0.009248
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-list	index=19	elapsed_ms=0.009738
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-list	index=20	elapsed_ms=0.009268
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-list	index=21	elapsed_ms=0.009477
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-list	index=22	elapsed_ms=0.009738
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-list	index=23	elapsed_ms=0.009558
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-list	index=24	elapsed_ms=0.009538
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-list	index=25	elapsed_ms=0.009578
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-list	index=26	elapsed_ms=0.010098
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-list	index=27	elapsed_ms=0.009688
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-list	index=28	elapsed_ms=0.010400
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-list	index=29	elapsed_ms=0.010370
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-list	index=30	elapsed_ms=0.010669
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-list	index=31	elapsed_ms=0.010941
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-list	index=32	elapsed_ms=0.007966
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-list	index=33	elapsed_ms=0.006111
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-list	index=34	elapsed_ms=0.005990
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-list	index=35	elapsed_ms=0.006051
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-list	index=36	elapsed_ms=0.005891
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-list	index=37	elapsed_ms=0.005971
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-list	index=38	elapsed_ms=0.006041
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-list	index=39	elapsed_ms=0.006001
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-list	index=40	elapsed_ms=0.005941
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-list	index=41	elapsed_ms=0.006022
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-list	index=42	elapsed_ms=0.005991
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-list	index=43	elapsed_ms=0.005971
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-list	index=44	elapsed_ms=0.006041
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-list	index=45	elapsed_ms=0.005982
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-list	index=46	elapsed_ms=0.006002
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-list	index=47	elapsed_ms=0.006001
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-list	index=48	elapsed_ms=0.005992
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-list	index=49	elapsed_ms=0.005982
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-list	index=50	elapsed_ms=0.006031
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-list	index=51	elapsed_ms=0.005931
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-list	index=52	elapsed_ms=0.005941
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-list	index=53	elapsed_ms=0.005990
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-list	index=54	elapsed_ms=0.006041
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-list	index=55	elapsed_ms=0.006001
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-list	index=56	elapsed_ms=0.005982
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-list	index=57	elapsed_ms=0.005962
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-list	index=58	elapsed_ms=0.006001
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-list	index=59	elapsed_ms=0.005950
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-list	index=60	elapsed_ms=0.005932
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-list	index=61	elapsed_ms=0.005911
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-list	index=62	elapsed_ms=0.005981
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-list	index=63	elapsed_ms=0.006111
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-list	index=64	elapsed_ms=0.005971
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-list	index=65	elapsed_ms=0.006092
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-list	index=66	elapsed_ms=0.005982
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-list	index=67	elapsed_ms=0.005891
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-list	index=68	elapsed_ms=0.005981
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-list	index=69	elapsed_ms=0.006011
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-list	index=70	elapsed_ms=0.006012
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-list	index=71	elapsed_ms=0.006071
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-list	index=72	elapsed_ms=0.006002
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-list	index=73	elapsed_ms=0.005971
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-list	index=74	elapsed_ms=0.006102
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-list	index=75	elapsed_ms=0.019697
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-list	index=76	elapsed_ms=0.006261
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-list	index=77	elapsed_ms=0.006061
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-list	index=78	elapsed_ms=0.006061
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-list	index=79	elapsed_ms=0.005981
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-list	index=80	elapsed_ms=0.005891
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-list	index=81	elapsed_ms=0.005992
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-list	index=82	elapsed_ms=0.005993
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-list	index=83	elapsed_ms=0.006022
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-list	index=84	elapsed_ms=0.006052
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-list	index=85	elapsed_ms=0.005981
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-list	index=86	elapsed_ms=0.005992
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-list	index=87	elapsed_ms=0.005991
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-list	index=88	elapsed_ms=0.006072
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-list	index=89	elapsed_ms=0.006021
