config	wasmtime=47.0.2	fixture=json-top-level-object	bytes=10485811	entities=39870	changed_entity=19935	changed_member_bytes=262	guest_per_linear_memory_limit_mib=64	max_entity_summaries=1000000	cold_warmups=3	cold_samples=20	warm_warmups=10	warm_samples=100	guest_component_bytes=191870	guest_sha256=9c903961004fd3186c16dd97786cb6c11d437a458bbdfc4a12b95dc3eac38248	base_commit=18b2802b	wasm_tools=1.254.0	machine=AMD-EPYC-Milan-4-core-8-thread	memory_gib=30
check	name=fail-closed-short-stream	status=ok	advertised_bytes=10485811	emitted_bytes=10485810	elapsed_ms=115.704
check	name=fail-closed-terminal-error	status=ok	emitted_bytes=10485811	elapsed_ms=115.449
check	name=output-cancellation-terminal	status=ok	elapsed_ms=132.134
check	name=host-entity-output-limit	status=ok	declared=39870	limit=39869	elapsed_ms=125.126
sample	phase=cold-open	transport=list-u8	index=0	elapsed_ms=112.972044
sample	phase=cold-open	transport=list-u8	index=1	elapsed_ms=112.837239
sample	phase=cold-open	transport=list-u8	index=2	elapsed_ms=112.999254
sample	phase=cold-open	transport=list-u8	index=3	elapsed_ms=113.208707
sample	phase=cold-open	transport=list-u8	index=4	elapsed_ms=113.403334
sample	phase=cold-open	transport=list-u8	index=5	elapsed_ms=113.519382
sample	phase=cold-open	transport=list-u8	index=6	elapsed_ms=112.881263
sample	phase=cold-open	transport=list-u8	index=7	elapsed_ms=113.011468
sample	phase=cold-open	transport=list-u8	index=8	elapsed_ms=112.561330
sample	phase=cold-open	transport=list-u8	index=9	elapsed_ms=112.744745
sample	phase=cold-open	transport=list-u8	index=10	elapsed_ms=112.772999
sample	phase=cold-open	transport=list-u8	index=11	elapsed_ms=112.586107
sample	phase=cold-open	transport=list-u8	index=12	elapsed_ms=112.479456
sample	phase=cold-open	transport=list-u8	index=13	elapsed_ms=112.868458
sample	phase=cold-open	transport=list-u8	index=14	elapsed_ms=112.924494
sample	phase=cold-open	transport=list-u8	index=15	elapsed_ms=112.894567
sample	phase=cold-open	transport=list-u8	index=16	elapsed_ms=112.346306
sample	phase=cold-open	transport=list-u8	index=17	elapsed_ms=112.515754
sample	phase=cold-open	transport=list-u8	index=18	elapsed_ms=112.541583
sample	phase=cold-open	transport=list-u8	index=19	elapsed_ms=112.784511
result	phase=cold-open	transport=list-u8	samples=20	p50_ms=112.837239	p95_ms=113.403334	min_ms=112.346306	max_ms=113.519382	guest_linear_high_water_mib=15.312	source_forks=0	source_lens=0	source_reads=0	source_read_bytes=0	source_streams=0	source_stream_bytes=0	source_stream_emitted_bytes=0	source_drops=0
sample	phase=cold-open	transport=bytes-stream-u8	index=0	elapsed_ms=113.674864
sample	phase=cold-open	transport=bytes-stream-u8	index=1	elapsed_ms=112.991520
sample	phase=cold-open	transport=bytes-stream-u8	index=2	elapsed_ms=112.761728
sample	phase=cold-open	transport=bytes-stream-u8	index=3	elapsed_ms=113.273589
sample	phase=cold-open	transport=bytes-stream-u8	index=4	elapsed_ms=113.476481
sample	phase=cold-open	transport=bytes-stream-u8	index=5	elapsed_ms=113.617847
sample	phase=cold-open	transport=bytes-stream-u8	index=6	elapsed_ms=113.236400
sample	phase=cold-open	transport=bytes-stream-u8	index=7	elapsed_ms=114.028961
sample	phase=cold-open	transport=bytes-stream-u8	index=8	elapsed_ms=113.273951
sample	phase=cold-open	transport=bytes-stream-u8	index=9	elapsed_ms=114.316161
sample	phase=cold-open	transport=bytes-stream-u8	index=10	elapsed_ms=112.846978
sample	phase=cold-open	transport=bytes-stream-u8	index=11	elapsed_ms=112.850545
