version,backend,operation,geometry,pk,n,d,page_target,tuple_width,height,objects,object_bytes,wall_ns,cpu_ns,rss_kb,calls,read_objects,read_bytes,writes,write_bytes,settled_bytes,shared_objects,diff_nodes,result_digest,timing_scope,cold_reopen,status
exp-art-01-v1,model,build,c2_slotted,integer,1000,0,4096,256,3,91,94541,4206349,4205000,14236,0,0,0,91,94541,0,0,0,0efc542d3ac62e36efc6e0d7d1e99fe12bc215ff0f881a5b8f31347562d9449f,authenticated_operation,false,ok
exp-art-01-v1,model,corruption_controls,c2_slotted,integer,1000,9,4096,256,3,91,94541,0,0,14236,0,0,0,0,0,0,0,0,0efc542d3ac62e36efc6e0d7d1e99fe12bc215ff0f881a5b8f31347562d9449f,authenticated_operation,false,rejected
exp-art-01-v1,rocksdb,persist,c2_slotted,integer,1000,0,4096,256,3,91,94541,855156,1335000,16724,1,0,0,92,94616,0,0,0,0efc542d3ac62e36efc6e0d7d1e99fe12bc215ff0f881a5b8f31347562d9449f,authenticated_operation,false,ok
exp-art-01-v1,rocksdb,cold_reopen,c2_slotted,integer,1000,0,4096,256,3,91,94541,1874391,1873000,17236,1,92,94616,0,0,163982,0,0,0efc542d3ac62e36efc6e0d7d1e99fe12bc215ff0f881a5b8f31347562d9449f,authenticated_operation,true,ok
exp-art-01-v1,slatedb,persist,c2_slotted,integer,1000,0,4096,256,3,91,94541,1501153,5550000,22516,1,0,0,92,94616,0,0,0,0efc542d3ac62e36efc6e0d7d1e99fe12bc215ff0f881a5b8f31347562d9449f,authenticated_operation,false,ok
exp-art-01-v1,slatedb,cold_reopen,c2_slotted,integer,1000,0,4096,256,3,91,94541,3518403,8508000,22900,1,92,94616,0,0,106380,0,0,0efc542d3ac62e36efc6e0d7d1e99fe12bc215ff0f881a5b8f31347562d9449f,authenticated_operation,true,ok
exp-art-01-v1,model,build,crit_bit,integer,1000,0,4096,256,11,1999,326138,21828940,21830000,23028,0,0,0,1999,326138,0,0,0,0efc542d3ac62e36efc6e0d7d1e99fe12bc215ff0f881a5b8f31347562d9449f,authenticated_operation,false,ok
exp-art-01-v1,model,corruption_controls,crit_bit,integer,1000,9,4096,256,11,1999,326138,0,0,23540,0,0,0,0,0,0,0,0,0efc542d3ac62e36efc6e0d7d1e99fe12bc215ff0f881a5b8f31347562d9449f,authenticated_operation,false,rejected
exp-art-01-v1,rocksdb,persist,crit_bit,integer,1000,0,4096,256,11,1999,326138,2070600,2071000,24936,2,0,0,2000,326213,0,0,0,0efc542d3ac62e36efc6e0d7d1e99fe12bc215ff0f881a5b8f31347562d9449f,authenticated_operation,false,ok
exp-art-01-v1,rocksdb,cold_reopen,crit_bit,integer,1000,0,4096,256,11,1999,326138,7236653,7279000,25704,2,2000,326213,0,0,477645,0,0,0efc542d3ac62e36efc6e0d7d1e99fe12bc215ff0f881a5b8f31347562d9449f,authenticated_operation,true,ok
exp-art-01-v1,slatedb,persist,crit_bit,integer,1000,0,4096,256,11,1999,326138,14738536,22202000,26092,2,0,0,2000,326213,0,0,0,0efc542d3ac62e36efc6e0d7d1e99fe12bc215ff0f881a5b8f31347562d9449f,authenticated_operation,false,ok
exp-art-01-v1,slatedb,cold_reopen,crit_bit,integer,1000,0,4096,256,11,1999,326138,26737695,29478000,28652,2,2000,326213,0,0,529044,0,0,0efc542d3ac62e36efc6e0d7d1e99fe12bc215ff0f881a5b8f31347562d9449f,authenticated_operation,true,ok
exp-art-01-v1,model,build,c2_slotted,uuid,1000,0,4096,256,3,97,112220,4137449,4137000,28652,0,0,0,97,112220,0,0,0,3c0cff0a3fd8f2219dcae43524dd343a21cdc9715680af962a9b56b37f32fcbd,authenticated_operation,false,ok
exp-art-01-v1,model,corruption_controls,c2_slotted,uuid,1000,9,4096,256,3,97,112220,0,0,28652,0,0,0,0,0,0,0,0,3c0cff0a3fd8f2219dcae43524dd343a21cdc9715680af962a9b56b37f32fcbd,authenticated_operation,false,rejected
exp-art-01-v1,rocksdb,persist,c2_slotted,uuid,1000,0,4096,256,3,97,112220,417868,418000,28780,1,0,0,98,112295,0,0,0,3c0cff0a3fd8f2219dcae43524dd343a21cdc9715680af962a9b56b37f32fcbd,authenticated_operation,false,ok
exp-art-01-v1,rocksdb,cold_reopen,c2_slotted,uuid,1000,0,4096,256,3,97,112220,2252568,2252000,28780,1,98,112295,0,0,176234,0,0,3c0cff0a3fd8f2219dcae43524dd343a21cdc9715680af962a9b56b37f32fcbd,authenticated_operation,true,ok
