backend,operation,pk,n,geometry,samples,wall_p50_ns,wall_p95_ns,cpu_p50_ns,cpu_p95_ns,rss_max_kb,read_objects_p50,read_bytes_p50,writes_p50,write_bytes_p50,object_bytes_p50,settled_bytes_p50
model,branch_snapshot,composite,1000,c2_slotted,20,0,0,0,0,17468,0,0,1,78,117006,0
model,branch_snapshot,composite,1000,crit_bit,20,0,0,0,0,19904,0,0,1,78,423215,0
model,branch_snapshot,composite,10000,c2_slotted,20,0,0,0,0,52152,0,0,1,78,1145868,0
model,branch_snapshot,composite,10000,crit_bit,20,0,0,0,0,79324,0,0,1,78,4233699,0
model,branch_snapshot,composite,50000,c2_slotted,20,0,0,0,0,205644,0,0,1,78,5734258,0
model,branch_snapshot,composite,100000,c2_slotted,20,0,0,0,0,393272,0,0,1,78,11468707,0
model,branch_snapshot,integer,1000,c2_slotted,20,0,0,0,0,17380,0,0,1,78,94541,0
model,branch_snapshot,integer,1000,crit_bit,20,0,0,0,0,19688,0,0,1,78,326138,0
model,branch_snapshot,integer,10000,c2_slotted,20,0,0,0,0,49424,0,0,1,78,942143,0
model,branch_snapshot,integer,10000,crit_bit,20,0,0,0,0,75108,0,0,1,78,3268216,0
model,branch_snapshot,integer,50000,c2_slotted,20,0,0,0,0,190588,0,0,1,78,4704661,0
model,branch_snapshot,integer,50000,crit_bit,20,0,0,0,0,320908,0,0,1,78,16344388,0
model,branch_snapshot,integer,100000,c2_slotted,20,0,0,0,0,367028,0,0,1,78,9415333,0
model,branch_snapshot,integer,100000,crit_bit,20,0,0,0,0,628392,0,0,1,78,32858949,0
model,branch_snapshot,text,1000,c2_slotted,20,0,0,0,0,17256,0,0,1,78,97616,0
model,branch_snapshot,text,1000,crit_bit,20,0,0,0,0,19772,0,0,1,78,340064,0
model,branch_snapshot,text,10000,c2_slotted,20,0,0,0,0,49976,0,0,1,78,970785,0
model,branch_snapshot,text,10000,crit_bit,20,0,0,0,0,75708,0,0,1,78,3422337,0
model,branch_snapshot,text,50000,c2_slotted,20,0,0,0,0,194964,0,0,1,78,4852645,0
model,branch_snapshot,text,50000,crit_bit,20,0,0,0,0,325220,0,0,1,78,17202615,0
model,branch_snapshot,text,100000,c2_slotted,20,0,0,0,0,371520,0,0,1,78,9702123,0
model,branch_snapshot,text,100000,crit_bit,20,0,0,0,0,636440,0,0,1,78,34427666,0
model,branch_snapshot,uuid,1000,c2_slotted,20,0,0,0,0,16940,0,0,1,78,112220,0
model,branch_snapshot,uuid,1000,crit_bit,20,0,0,0,0,19624,0,0,1,78,376033,0
model,branch_snapshot,uuid,10000,c2_slotted,20,0,0,0,0,49692,0,0,1,78,1113180,0
model,branch_snapshot,uuid,10000,crit_bit,20,0,0,0,0,76668,0,0,1,78,3760753,0
model,branch_snapshot,uuid,50000,c2_slotted,20,0,0,0,0,193076,0,0,1,78,5547342,0
model,branch_snapshot,uuid,50000,crit_bit,20,0,0,0,0,329648,0,0,1,78,18786825,0
model,branch_snapshot,uuid,100000,c2_slotted,20,0,0,0,0,373004,0,0,1,78,11101162,0
model,branch_snapshot,uuid,100000,crit_bit,20,0,0,0,0,646628,0,0,1,78,37549580,0
model,build,composite,1000,c2_slotted,1,4884205,4884205,4882000,4882000,14268,0,0,104,117006,117006,0
model,build,composite,1000,crit_bit,1,35153121,35153121,35108000,35108000,15040,0,0,1999,423215,423215,0
model,build,composite,10000,c2_slotted,1,27113284,27113284,27113000,27113000,22572,0,0,987,1145868,1145868,0
