version,backend,operation,geometry,pk,n,d,page_target,block_size,tuple_width,height,objects,object_bytes,wall_ns,cpu_ns,rss_kb,calls,read_objects,read_bytes,writes,write_bytes,settled_bytes,shared_objects,diff_nodes,result_digest,timing_scope,cold_reopen,status
exp-subrange-merkle-12-v1,model,build,c2_slotted,integer,1000,0,65536,0,256,2,7,69993,2654257,2654000,14428,0,0,0,7,69993,0,0,0,0efc542d3ac62e36efc6e0d7d1e99fe12bc215ff0f881a5b8f31347562d9449f,authenticated_operation,false,ok
exp-subrange-merkle-12-v1,model,corruption_controls,c2_slotted,integer,1000,9,65536,0,256,2,7,69993,0,0,14428,0,0,0,0,0,0,0,0,0efc542d3ac62e36efc6e0d7d1e99fe12bc215ff0f881a5b8f31347562d9449f,authenticated_operation,false,rejected
exp-subrange-merkle-12-v1,rocksdb,persist,c2_slotted,integer,1000,0,65536,0,256,2,7,69993,453257,948000,16780,1,0,0,8,70068,0,0,0,0efc542d3ac62e36efc6e0d7d1e99fe12bc215ff0f881a5b8f31347562d9449f,authenticated_operation,false,ok
exp-subrange-merkle-12-v1,rocksdb,cold_reopen,c2_slotted,integer,1000,0,65536,0,256,2,7,69993,1039744,1038000,17164,1,8,70068,0,0,135112,0,0,0efc542d3ac62e36efc6e0d7d1e99fe12bc215ff0f881a5b8f31347562d9449f,authenticated_operation,true,ok
exp-subrange-merkle-12-v1,slatedb,persist,c2_slotted,integer,1000,0,65536,0,256,2,7,69993,858376,3135000,22412,1,0,0,8,70068,0,0,0,0efc542d3ac62e36efc6e0d7d1e99fe12bc215ff0f881a5b8f31347562d9449f,authenticated_operation,false,ok
exp-subrange-merkle-12-v1,slatedb,cold_reopen,c2_slotted,integer,1000,0,65536,0,256,2,7,69993,1225124,1348000,22668,1,8,70068,0,0,73285,0,0,0efc542d3ac62e36efc6e0d7d1e99fe12bc215ff0f881a5b8f31347562d9449f,authenticated_operation,true,ok
exp-subrange-merkle-12-v1,model,build,c2_subrange_merkle,integer,1000,0,65536,16,256,2,7,72164,2698156,2698000,22668,0,0,0,7,72164,0,0,0,0efc542d3ac62e36efc6e0d7d1e99fe12bc215ff0f881a5b8f31347562d9449f,authenticated_operation,false,ok
exp-subrange-merkle-12-v1,model,corruption_controls,c2_subrange_merkle,integer,1000,15,65536,16,256,2,7,72164,0,0,22668,0,0,0,0,0,0,0,0,0efc542d3ac62e36efc6e0d7d1e99fe12bc215ff0f881a5b8f31347562d9449f,authenticated_operation,false,rejected
exp-subrange-merkle-12-v1,rocksdb,persist,c2_subrange_merkle,integer,1000,0,65536,16,256,2,7,72164,271088,270000,22796,1,0,0,8,72239,0,0,0,0efc542d3ac62e36efc6e0d7d1e99fe12bc215ff0f881a5b8f31347562d9449f,authenticated_operation,false,ok
exp-subrange-merkle-12-v1,rocksdb,cold_reopen,c2_subrange_merkle,integer,1000,0,65536,16,256,2,7,72164,1853101,1852000,22796,1,8,72239,0,0,131446,0,0,0efc542d3ac62e36efc6e0d7d1e99fe12bc215ff0f881a5b8f31347562d9449f,authenticated_operation,true,ok
exp-subrange-merkle-12-v1,slatedb,persist,c2_subrange_merkle,integer,1000,0,65536,16,256,2,7,72164,681416,1831000,23176,1,0,0,8,72239,0,0,0,0efc542d3ac62e36efc6e0d7d1e99fe12bc215ff0f881a5b8f31347562d9449f,authenticated_operation,false,ok
exp-subrange-merkle-12-v1,slatedb,cold_reopen,c2_subrange_merkle,integer,1000,0,65536,16,256,2,7,72164,2356839,7311000,23304,1,8,72239,0,0,75456,0,0,0efc542d3ac62e36efc6e0d7d1e99fe12bc215ff0f881a5b8f31347562d9449f,authenticated_operation,true,ok
exp-subrange-merkle-12-v1,model,build,c2_slotted,uuid,1000,0,65536,0,256,2,8,87349,754136,753000,23304,0,0,0,8,87349,0,0,0,3c0cff0a3fd8f2219dcae43524dd343a21cdc9715680af962a9b56b37f32fcbd,authenticated_operation,false,ok
exp-subrange-merkle-12-v1,model,corruption_controls,c2_slotted,uuid,1000,9,65536,0,256,2,8,87349,0,0,23304,0,0,0,0,0,0,0,0,3c0cff0a3fd8f2219dcae43524dd343a21cdc9715680af962a9b56b37f32fcbd,authenticated_operation,false,rejected
exp-subrange-merkle-12-v1,rocksdb,persist,c2_slotted,uuid,1000,0,65536,0,256,2,8,87349,179489,178000,23304,1,0,0,9,87424,0,0,0,3c0cff0a3fd8f2219dcae43524dd343a21cdc9715680af962a9b56b37f32fcbd,authenticated_operation,false,ok
exp-subrange-merkle-12-v1,rocksdb,cold_reopen,c2_slotted,uuid,1000,0,65536,0,256,2,8,87349,487997,487000,23364,1,9,87424,0,0,146680,0,0,3c0cff0a3fd8f2219dcae43524dd343a21cdc9715680af962a9b56b37f32fcbd,authenticated_operation,true,ok
exp-subrange-merkle-12-v1,slatedb,persist,c2_slotted,uuid,1000,0,65536,0,256,2,8,87349,743896,2039000,23748,1,0,0,9,87424,0,0,0,3c0cff0a3fd8f2219dcae43524dd343a21cdc9715680af962a9b56b37f32fcbd,authenticated_operation,false,ok
exp-subrange-merkle-12-v1,slatedb,cold_reopen,c2_slotted,uuid,1000,0,65536,0,256,2,8,87349,1276963,4615000,23876,1,9,87424,0,0,90763,0,0,3c0cff0a3fd8f2219dcae43524dd343a21cdc9715680af962a9b56b37f32fcbd,authenticated_operation,true,ok
exp-subrange-merkle-12-v1,model,build,c2_subrange_merkle,uuid,1000,0,65536,16,256,2,8,89813,1648632,1650000,23876,0,0,0,8,89813,0,0,0,3c0cff0a3fd8f2219dcae43524dd343a21cdc9715680af962a9b56b37f32fcbd,authenticated_operation,false,ok
exp-subrange-merkle-12-v1,model,corruption_controls,c2_subrange_merkle,uuid,1000,15,65536,16,256,2,8,89813,0,0,23876,0,0,0,0,0,0,0,0,3c0cff0a3fd8f2219dcae43524dd343a21cdc9715680af962a9b56b37f32fcbd,authenticated_operation,false,rejected
exp-subrange-merkle-12-v1,rocksdb,persist,c2_subrange_merkle,uuid,1000,0,65536,16,256,2,8,89813,197588,196000,23876,1,0,0,9,89888,0,0,0,3c0cff0a3fd8f2219dcae43524dd343a21cdc9715680af962a9b56b37f32fcbd,authenticated_operation,false,ok
exp-subrange-merkle-12-v1,rocksdb,cold_reopen,c2_subrange_merkle,uuid,1000,0,65536,16,256,2,8,89813,1149484,1149000,23876,1,9,89888,0,0,149174,0,0,3c0cff0a3fd8f2219dcae43524dd343a21cdc9715680af962a9b56b37f32fcbd,authenticated_operation,true,ok
exp-subrange-merkle-12-v1,slatedb,persist,c2_subrange_merkle,uuid,1000,0,65536,16,256,2,8,89813,685317,894000,24000,1,0,0,9,89888,0,0,0,3c0cff0a3fd8f2219dcae43524dd343a21cdc9715680af962a9b56b37f32fcbd,authenticated_operation,false,ok
