operation,pk,n,samples,c2_p50_ns,candidate_p50_ns,p50_ratio,c2_p95_ns,candidate_p95_ns,p95_ratio,cpu_ratio,rss_ratio
full_scan,composite,1000,20,395507,382398,0.966855,490957,462768,0.942584,0.964646,1.000446
full_scan,composite,10000,20,3715282,3690261,0.993265,3884700,3776490,0.972145,0.992734,1.004625
full_scan,composite,50000,20,19164912,19040661,0.993517,20338847,19524890,0.959980,0.995504,1.003456
full_scan,composite,100000,20,38854849,38038743,0.978996,42003773,42334732,1.007879,0.978974,1.003269
full_scan,integer,1000,20,383429,384638,1.003153,399928,395339,0.988525,1.000000,1.000000
full_scan,integer,10000,20,3756061,3631272,0.966777,3921480,3708161,0.945602,0.966995,1.004885
full_scan,integer,50000,20,18886394,18049478,0.955687,19600070,18724554,0.955331,0.956801,1.003701
full_scan,integer,100000,20,37524306,35762116,0.953039,40145823,37178609,0.926089,0.952646,1.009979
full_scan,text,1000,20,410728,410588,0.999659,416228,428948,1.030560,1.000000,1.000000
full_scan,text,10000,20,4000550,3990320,0.997443,4801934,4058759,0.845234,0.996002,1.000000
full_scan,text,50000,20,20115757,19974879,0.992997,20472495,20921464,1.021930,0.993337,1.000000
full_scan,text,100000,20,40370732,40216062,0.996169,42478240,42188292,0.993174,0.996926,1.000000
full_scan,uuid,1000,20,357978,361309,1.009305,373718,402848,1.077946,1.005571,1.000000
full_scan,uuid,10000,20,3482882,3499012,1.004631,3849501,4404678,1.144221,1.004592,1.002394
full_scan,uuid,50000,20,17589430,17717611,1.007287,18004178,18760815,1.042026,1.007276,1.003621
full_scan,uuid,100000,20,35957425,35290128,0.981442,38288143,37924044,0.990491,0.981416,1.003426
hash_diff_1,composite,1000,20,906395,687777,0.758805,934195,854815,0.915028,0.758545,1.000446
hash_diff_1,composite,10000,20,6331607,6121029,0.966742,7043574,6800136,0.965438,0.966672,1.004625
hash_diff_1,composite,50000,20,31201381,30444434,0.975740,32453924,31453349,0.969169,0.976019,1.003456
hash_diff_1,composite,100000,20,42580111,42376171,0.995210,45604564,46977188,1.030098,0.995209,1.003269
hash_diff_1,integer,1000,20,964256,730266,0.757336,1023925,740566,0.723262,0.758299,1.000000
hash_diff_1,integer,10000,20,6364398,5776472,0.907623,6656346,6047780,0.908574,0.907748,1.004885
